time	rate	s1	s2	lambda1	lambda2	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs
0.0	2.220446049250313e-16	1.0	0.0	1.0	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.0	0.0
0.05	0.0025528455128810737	0.9987523595655332	0.0499372031884048	0.9975062757377201	0.0024937242622800264	0.9987242513233622	0.007493038161496279	0.9974657346909418	-0.004987324350330206	0.9974782029130841	-4.156275889009158e-6	-0.0024938047679580735	0.0024938082314644176
0.1	0.010219959462971082	0.9950130473334902	0.09974485267983024	0.9900509643638783	0.009949035636121038	0.9949008200804399	0.01494445090362127	0.9898893389694231	-0.009947458692070803	0.9899393190189749	-3.3177507221103874e-5	-0.00995081334508812	0.009950868654332106
0.15	0.02302726889712526	0.988792866716861	0.14929389381283573	0.9777113332701479	0.02228866672979827	0.9885411615451621	0.022313331623364133	0.9773498842519378	-0.014850526602351595	0.9774627023000128	-0.00011180112723730779	-0.022298054195295347	0.022298334475659386
0.2	0.041018635583523026	0.9801097455664113	0.19845625876920042	0.9606151133542554	0.03938488664466784	0.9796644012856163	0.0295603219393884	0.9599786766585454	-0.019664129683973124	0.9601800547997861	-0.0002647234932831695	-0.0394147069607583	0.039415595940317134
0.25	0.06425682830592355	0.9689886246263322	0.24710533246820165	0.9389389546552309	0.06106104533422047	0.968297373926286	0.03664869685082296	0.9379585007213237	-0.02435389100588193	0.9382746192253736	-0.0005169530466474643	-0.06113322891551992	0.06113541459816723
0.3	0.09282487007248966	0.9554613116934179	0.2951163868550243	0.9129063181429066	0.08709368179036435	0.9544746495998973	0.0435459379427887	0.9115225726236517	-0.02888419321824648	0.9119800968334283	-0.0008944466881933235	-0.08724077746975119	0.08724536256102479
0.35	0.12682772387386157	0.9395663116766435	0.342366975113495	0.8827848540376516	0.11721514564836451	0.9382385044964078	0.05022621651168136	0.8809532170908272	-0.03321927052607794	0.8815793161349481	-0.0014250227111677516	-0.11748074689774368	0.11748938922889614
0.4	0.16639423504890394	0.9213486458759601	0.3887372783127928	0.8488833272574653	0.15111667155003775	0.9196387420684208	0.056674626166174205	0.8465802141005339	-0.0373248924661127	0.8474026236117709	-0.0021394696252231065	-0.15155415367202393	0.1515692542223544
0.45	0.21167916851123236	0.9008596781300269	0.43411039663851564	0.8115481596805356	0.18845183646964936	0.8987321492198758	0.0628949825251809	0.8087786015931149	-0.04117094733777957	0.809825828990163	-0.003072604274680279	-0.1891205302436732	0.18914548859720892
