time	rate	s1	s2	lambda1	lambda2	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs
0.0	-0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
0.05	0.002500953768218145	0.9999999999221418	1.247864601334123e-5	0.9999999998442837	1.5571660632627697e-10	0.9987503046876921	0.04997828397146154	0.9987471885481634	0.002494859829316988	0.9987503046099303	-1.8224505728393523e-13	5.202286820790748e-11	5.202318742482255e-11
0.1	0.010016291690761413	0.9999999923073354	0.00012403761133983153	0.9999999846146709	1.5385329026891103e-8	0.9950043820356824	0.09983125181123718	0.994992013907346	0.004959566193630906	0.9950043743804473	-1.7691739066931376e-11	3.524280027381593e-9	3.5243244329987574e-9
0.15	0.022583687238550313	0.9999999076375824	0.0004297962618362127	0.9999998152751733	1.8472482668838229e-7	0.9887717670018528	0.1494335359776448	0.9887442196344642	0.00736849212891449	0.98877167563438	-2.569937459883836e-10	4.008000455621842e-8	4.0080828472125754e-8
0.2	0.04026674988213157	0.9999994827439078	0.0010171095893216201	0.9999989654880832	1.0345119166899948e-6	0.980068476436095	0.19865978094783152	0.9800199194492826	0.009704701381852959	0.980067968942098	-1.7914772369667885e-9	2.2389111162738537e-7	2.2389827881526224e-7
0.25	0.06315628475980009	0.9999980751297944	0.001962074592362109	0.999996150263294	3.8497367059929355e-6	0.9689171162619286	0.24738490530202273	0.9688413873584415	0.011963394981170567	0.9689152474174948	-8.2002213246099e-9	8.473878102555148e-7	8.474274863369779e-7
0.3	0.09137211475909363	0.9999944672255393	0.0033264873830607237	0.9999889344816902	1.1065518309662181e-5	0.955346894159338	0.2954845913329485	0.9552367298801326	0.014154318846870536	0.9553415906648828	-2.8485644263897585e-8	2.50612372749038e-6	2.5062856120999867e-6
0.35	0.12506552367211707	0.9999867109661089	0.005155374979911875	0.9999734221088162	2.657789118350136e-5	0.9393934508778871	0.3428359649290186	0.9392394260449664	0.016302880086661642	0.9393809042855821	-8.125101237101663e-8	6.249106616581457e-6	6.249634807923856e-6
0.4	0.16442239444070372	0.9999720602816297	0.007475202747012533	0.9999441213438872	5.5878656108943715e-5	0.9210984574432821	0.38931836690899274	0.9208877396744727	0.018449820771999057	0.9210725405576253	-1.994321680584121e-7	1.374837561165091e-5	1.3749822004254964e-5
0.45	0.2096671272207306	0.9999470274206472	0.010292830154586628	0.9998940576473886	0.00010594235259116778	0.9005089837321918	0.4348140752137009	0.9002240355864036	0.020649421950061492	0.9004608336148453	-4.337554632475409e-7	2.748182093653842e-5	2.748524378261649e-5
0.5	0.2610674209244169	0.9999075802465514	0.013595255253091094	0.9998151690345135	0.00018483096539670098	0.8776767146499221	0.4792088266584775	0.8772940605316447	0.022966342786267382	0.877594622559344	-8.514858948094639e-7	5.092442401935843e-5	5.093154219079243e-5
0.55	0.31893997407142266	0.999849474750135	0.017350153934120618	0.9996989721581208	0.00030102784153768116	0.8526571584432335	0.5223920119199187	0.8521462728448663	0.02547132264013046	0.8525268667909739	-1.524939537106818e-6	8.874543978526404e-5	8.875854056524226e-5
