time	rate	mx	s1	s2	s3	s4	lambda1	lambda2	lambda3	lambda4	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs	I12	I13	I12_3	I12_4
0.0	2.220446049250313e-16	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.0	0.0	-2.2204460492503126e-16	-2.2204460492503126e-16	2.2204460492503126e-16	2.2204460492503126e-16
0.05	0.0012538519975362418	0.9950390163466749	0.9993833769181701	0.03511219075527288	0.0	0.0	0.9987671340603653	0.0012328659396346703	0.0	0.0	0.9993725886327928	0.005391660406678967	0.9983049735569204	-0.030024583823030346	0.9987563746290833	3.476579712031439e-5	-0.0022768170032664735	0.0022770824155073383	0.01541578656586054	0.0006923324496269923	0.017197899997922927	0.0010014308986965245
0.1	0.004961429315256558	0.9804836567973139	0.9975420027125603	0.07007077776420129	0.00019730112565129136	0.0	0.9950900471757858	0.004909913896480086	3.892773418326666e-8	0.0	0.9975192399530024	0.010337633510949492	0.9932614742699266	-0.05992474948414472	0.9950675011624114	0.00021897784953207934	-0.00903946327710855	0.00904211521917188	0.04682300695812368	0.0030171058805585904	0.054399247602507826	0.004318363813784809
0.15	0.011043846287711523	0.9569497955185947	0.9944570102893032	0.10513990994653097	0.0007443083717993994	0.000547748066692888	0.9889447453135394	0.011054400663564641	5.539949523306729e-7	3.000279445657965e-7	0.9944839521424139	0.015284829609675083	0.9849042532627271	-0.08960579491318998	0.9889719847280988	0.0006292180106832457	-0.020095008604873326	0.020104857277158203	0.08456610517847452	0.007409659008325853	0.10297083436406412	0.010610827273598994
0.2	0.019356559831029824	0.9254731040164657	0.9901086724111213	0.14028223558887432	0.001921602176551117	0.0014207731232530167	0.9803151831837131	0.019679105621812437	3.69255492492599e-6	2.018596267758132e-6	0.9903437700418976	0.020144967028543282	0.9733086237579441	-0.11893774382369147	0.9805487565580068	0.0013277727283552655	-0.03518832264714288	0.035213364382540795	0.12239857112871888	0.013809116874919924	0.15748866327219013	0.02016431297126081
0.25	0.02971124661268305	0.8873578684825878	0.984471109513912	0.1754832433110031	0.0038461787164835387	0.0027335499725824075	0.969183365467553	0.030794368682948714	1.4793090719130962e-5	7.472295452605281e-6	0.9851944376522924	0.024876728079500223	0.9585737011174632	-0.14776924685863077	0.9698965361270235	0.0023092917272706224	-0.05397487960917454	0.054024258043091404	0.15588791756896442	0.021684271531502264	0.2137672875838974	0.03275642206703833
0.3	0.041872042103075095	0.8441238523721023	0.9775232404959645	0.21067499356894023	0.006598869724843908	0.004562029295591674	0.9555516857097313	0.04438395291527301	4.354508164546152e-5	2.0812111293836665e-5	0.9791489677577385	0.029461982132237562	0.9408347498805673	-0.17592849813008213	0.9571420286650962	0.0035061957858667477	-0.07604453016686881	0.07612531758349944	0.18213711003158117	0.03020280815127485	0.2683038096344343	0.047626876724966016
0.35	0.05558826891239778	0.7973294317193816	0.969243578997947	0.24579250190616864	0.010245038806307361	0.006924475847566927	0.9394331154287495	0.06041395399329391	0.00010496082014274376	4.7948365763537705e-5	0.9723196176817154	0.03390317719265976	0.9202434510577404	-0.20322236558127693	0.942415693357825	0.004784592582368228	-0.10096255329286477	0.10107586009326763	0.19975840979975007	0.03855189769956302	0.3182389630908592	0.06366154320041384
0.4	0.07059069877251241	0.7485417745647247	0.959624833213577	0.28072148649841505	0.014811836784384783	0.009805731724496154	0.9208798205201856	0.07880455298187983	0.00021939050892725415	9.615237465279032e-5	0.9648194093044102	0.038213680446024925	0.896985602160855	-0.22944532445926102	0.9258662578364584	0.0059541346438659335	-0.12826906188284262	0.12840718031193502	0.20864273732936212	0.046163515139486355	0.36125293378705925	0.0796350098416787
0.45	0.08662306795472836	0.699208297226027	0.9486709552439856	0.3153380340044761	0.02029241013642372	0.013163974387981186	0.8999765813235361	0.09943807568980811	0.0004117819091448321	0.00017329022168742462	0.9567488608307575	0.042417661581178615	0.8712665265527229	-0.2543848186289084	0.9076436504708822	0.006784774395249763	-0.15750865122000565	0.1576547124977234	0.2097135952090311	0.05277084897449269	0.39567944291863344	0.09449140291478408
0.5	0.10345544308049703	0.6506129877410327	0.9364026009905353	0.3495029933990416	0.02664852975103089	0.016938617165494926	0.8768498311418397	0.12215234239489053	0.0007101441378915785	0.00028691675147919936	0.9481930099571705	0.04655182985359437	0.8433131891843034	-0.2778314834435797	0.887900595925389	0.007022290771823702	-0.18823664766880518	0.18836758769298378	0.20456071388714847	0.05827441097838093	0.4205571184947092	0.10753482583546181
0.55	0.1209078314903979	0.6038195065637373	0.9228538184300968	0.383083040306387	0.03380875904999466	0.021053321402409453	0.8516591701910101	0.14675261577038493	0.001143032188500596	0.0004432423420731519	0.9392142000917255	0.050664574601391135	0.8133633145062206	-0.2995857779463434	0.8667822793137046	0.006404453886812857	-0.22003827465389683	0.22013145922891633	0.19507403022009429	0.06254214378014811	0.43569607865563287	0.11849794673365843
0.6	0.1388518398235261	0.5596806528866933	0.9080749605795334	0.4159455612611664	0.041686358983622905	0.02543437505291621	0.8246001340315211	0.1730107099328667	0.001737752525311478	0.0006469074343324066	0.9298535851012082	0.054822534145132995	0.7816673975091774	-0.31946792363253007	0.844430976787831	0.004677496272479597	-0.2525252506227835	0.25256856727130295	0.1831105854078443	0.06530231821101018	0.44163578817966975	0.12748384139180846
0.65	0.15721728289120163	0.5188343189220341	0.8921281778081736	0.4479734380528492	0.050169935791347736	0.030006617575329738	0.7958926856393321	0.20068020120088995	0.002517022457307955	0.0009003970983120876	0.9201288570214996	0.059104325800691936	0.7484804520352161	-0.33732238018557076	0.8209807398793836	0.0016073581417456633	-0.28534488213440795	0.2853494092520519	0.1702682899414769	0.06618002905454379	0.4395724452370857	0.134803415674418
0.7	0.1759794432751202	0.4817430872767805	0.8750891715352777	0.4790588755837885	0.05913970136309609	0.03470463232446636	0.7657810581382986	0.22949740627560375	0.0034975042773161898	0.0012044115047763954	0.9100378937272872	0.06362167499625851	0.7140638112361694	-0.35302623424542373	0.796564277747018	-0.00300954168501282	-0.31817135624815135	0.3181855893624692	0.1577610237850403	0.06487881359342307	0.43117207501525234	0.1407952888873576
0.75	0.1951579594883926	0.44869997735743494	0.8570352556606693	0.5091236369852857	0.06846787759770716	0.039475264788632766	0.7345094294453488	0.25920687773712503	0.00468785026273461	0.00155829653013267	0.899552918860088	0.06853749190658616	0.6786694233270045	-0.36648550152381903	0.7713000771335201	-0.009340903948890214	-0.35072037377667353	0.3508447421134197	0.14639046720334736	0.06135510072564143	0.4183634807918313	0.14568174462811245
0.8	0.21479266104922948	0.41988240890701506	0.8380479246561829	0.5381072394218482	0.07802200036477643	0.04427796574371835	0.7023243240205352	0.2895594011182023	0.006087432540921173	0.001960538250401896	0.8886221934142924	0.074101322037282	0.6425441531329297	-0.3776407455029196	0.7453023020153062	-0.01751378002018779	-0.3827352931880366	0.3831357946503144	0.13660091180713585	0.055893056125449814	0.40309870572250817	0.14951526670941573
0.85	0.23492533134987167	0.39538321175095525	0.8182109762730033	0.5659648752166134	0.08767261050623089	0.04908592857941394	0.6694692016936212	0.3203162399789568	0.007686486632977267	0.0024094283845033262	0.8771599562701953	0.08073739180962101	0.6059270870937162	-0.3864652755451487	0.7186814621764386	-0.02761437795062646	-0.4139829975895054	0.41490297198597226	0.1285671912784352	0.04904149264934565	0.3871447703682318	0.152220694740121
