time	rate	mx	s1	s2	s3	s4	lambda1	lambda2	lambda3	lambda4	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs	I12	I13	I12_3	I12_4
0.0	2.220446049250313e-16	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.0	0.0	-2.2204460492503126e-16	-2.2204460492503126e-16	2.2204460492503126e-16	2.2204460492503126e-16
0.05	9.993670576895345e-5	0.9998001515478826	0.9999999887662002	0.0001498919596652541	0.0	0.0	0.9999999775324006	2.246759957229016e-8	0.0	0.0	0.9999500591030345	0.00999508696538772	0.9998375499978202	-0.01499806327808605	0.9999500328955128	-4.9989878606516906e-5	3.1236240815255164e-11	4.998987860652666e-5	7.738332598617081e-7	1.1815894311371102e-8	8.050654389607935e-7	1.7284016428496885e-8
0.1	0.0003997067873464219	0.9992009856128423	0.9999998204936297	0.0005991766912341802	3.3712311969559116e-8	0.0	0.9999996409872915	3.5901270731834014e-7	1.136519978332879e-15	0.0	0.9998005852462709	0.019978141691593686	0.9993502378059806	-0.029991253423270484	0.9998001665756857	2.4986232177401695e-5	-5.630442705377856e-7	2.4992575242931834e-5	1.0372931468847856e-5	1.8954418741147668e-7	1.0873197166849796e-5	2.7726931980866327e-7
0.15	0.0008991898482387746	0.9982036395094304	0.9999990931467585	0.0013467388772772373	2.3950035588074307e-7	0.0	0.9999981862943393	1.8137056035699536e-6	5.736042046700258e-14	0.0	0.9995526202591094	0.029936800489097873	0.9985381768415766	-0.04497470057281257	0.9995505061284867	0.0001499631354541266	-1.3844745086731375e-9	0.0001499631354605174	4.650828530502568e-5	9.633837620892427e-7	4.904526097824128e-5	1.4093508324170044e-6
0.2	0.0015981842419128497	0.9968100056365413	0.9999971422326257	0.002390716602737025	8.40909963020692e-7	0.0	0.9999942844734182	5.715525874602462e-6	7.071295659074615e-13	0.0	0.9992078850644652	0.03985912865990142	0.9974015560933761	-0.05994354073527835	0.9992012270675863	0.00032495087676099335	1.968189072008544e-6	0.00032495683725067466	0.0001333639433846254	3.0578293946080005e-6	0.00014139718313172623	4.474830712283384e-6
0.25	0.00249640557484218	0.9950227268137809	0.9999930490564172	0.003728516357906659	2.1491949504925605e-6	0.0	0.9999860981611499	1.3901834231177537e-5	4.619038935222719e-12	0.0	0.9987687568675213	0.049733415759003564	0.9959406400835668	-0.07489291874012066	0.9987525758902848	0.0005499680994789586	5.765988595380567e-6	0.0005499983246056116	0.0002994515889534616	7.496175170340863e-6	0.000319098450539524	1.0976957247838394e-5
0.3	0.0035934845881348616	0.9928451897736678	0.9999856520942286	0.005356826007254136	4.5616295348937064e-6	0.0	0.9999713043943197	2.869558487199429e-5	2.080846401361457e-11	0.0	0.998238237954531	0.05954827276167401	0.9941557688196901	-0.08981799120430872	0.9982048708664201	0.0008250392591582494	1.1837748041434795e-5	0.0008251241794003406	0.0005760298040174453	1.5600371155646527e-5	0.0006168300925991769	2.286677372170744e-5
0.35	0.0048889646003864905	0.9902815168309654	0.9999735613038128	0.007271631186101209	8.559366617293477e-6	2.1603588104093633e-8	0.9999471233066302	5.2876620106679676e-5	7.326275688923798e-11	4.66715018971336e-16	0.9976199168035226	0.06929270585321262	0.9920473577422149	-0.10471392952158802	0.9975585030659415	0.0011501943820548905	2.0639317583579582e-5	0.0011503795451680056	0.0009958196014121536	2.8984893644774627e-5	0.001071488669857825	4.254261626455069e-5
0.4	0.006382297863575737	0.9873365557562706	0.9999551751509285	0.009468234927373864	1.4704828144749537e-5	6.615584597104558e-8	0.999910352311124	8.964747263994237e-5	2.162319707666181e-10	4.3765959561447075e-15	0.9969179223648016	0.07895618137509113	0.9896158976751068	-0.11957592287983088	0.9968139376352393	0.0015254647593324552	3.263297951299578e-5	0.0015258137642966527	0.0015919192645275715	4.9542627803631206e-5	0.001721079567131918	7.284066883027265e-5
0.45	0.008072841719768924	0.9840158678873994	0.9999287000912964	0.011941280288036732	2.363874738527002e-5	1.4977876486390735e-7	0.9998574052662699	0.0001425941749174546	5.587903779446102e-10	2.2433678404157646e-14	0.9961368724950159	0.08852868276668023	0.9868619547875422	-0.13439918131185324	0.9959717153335156	0.001950890111273427	4.828745365698682e-5	0.0019514876131928483	0.002396874754492068	7.942389169791376e-5	0.002603753609757929	0.00011701697298964388
